"Id";"Oznaczenie";"Obudowa";"Ilość";"Oznaczenie";"Dostawca i numer artykułu";
1;"U17,U16";"tfbga48";2;"IS66WVE4M16";;;
2;"U18";"MC68030RC_PGA";1;"MC68030RC_PGA";;;
3;"U13";"uMAX-uSOP_8";1;"DS1086L";;;
4;"U9,U8,U11,U10";"tssop-20";4;"74LXC245";;;
5;"U7";"tssop-20";1;"PCA9564";;;
6;"U6,U5";"TSOP48";2;"S29AL016J";;;
7;"U3,U4";"TSOP48";2;"AS6C3216";;;
8;"U2";"TQFP144";1;"XC95144XL-10TQG144C";;;
9;"C7,C40,C41";"SM1210L";3;"1uF";;;
10;"C21,C6";"SM0603_Capa";2;"0.01uF";;;
11;"C22,C4,C9,C8,C11,C10,C12,C15,C19,C16,C17,C18,C13,C14,C26,C25,C24,C23,C32,C31,C30,C33,C34,C35,C36,C37,C38,C39";"SM0603_Capa";28;"100nF";;;
12;"C5";"SM0603_Capa";1;"0.1uF";;;
13;"C1,C27";"SM0603_Capa";2;"0.22uF";;;
14;"C3,C29";"SM0603_Capa";2;"220pF";;;
15;"R1";"SM0603";1;"100";;;
16;"R8,R7,R4,R5";"SM0603";4;"4k7";;;
17;"R2,R3,R6";"SM0603";3;"k22";;;
18;"U1";"PQFP132M";1;"MC68030FE";;;
19;"J5";"PIN_ARRAY_4x1";1;"I2C_EXT";;;
20;"JP2";"PIN_ARRAY_3X1";1;"LOGIC CLK";;;
21;"JP1";"PIN_ARRAY_3X1";1;"CPU CLK";;;
22;"JP3";"PIN_ARRAY_3X1";1;"CLK SPREAD";;;
23;"J4";"PIN_ARRAY_2X1";1;"CONN_2";;;
24;"J3";"PIN_ARRAY-6X1";1;"XILINX_JTAG";;;
25;"U12";"MSOP_8";1;"MCP9801";;;
26;"D3,D2,D1";"LED-0805";3;"LED";;;
27;"U15";"DPAK3";1;"MCP1826S";;;
28;"U14";"DIP-8__300";1;"XTAL_OSC_DIP8";;;
29;"C2,C28";"c_tant_B";2;"22uF";;;
30;"C20";"c_tant_B";1;"4,7uF";;;
31;"JP4";"PIN_ARRAY_3X1";1;"QFP/PGA";;;
32;"JP5";"PIN_ARRAY_3X1";1;"NoFlash/Flash";;;
33;"U19";"VQFP44";1;"XC9536XL-5VQG44C";;;
34;"CON1";"8817-200-170S-F";1;"A3000/A4000_LOCAL_BUS_SLOT";;;
35;"U20";"MSOP-8";1;"MCP9801";;;
36;"Hole_4mm,Hole_4mm,Hole_4mm,Hole_4mm";"hole_4mm";4;"P***";;;
37;",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,";"PINTST_0.8";89;"";;;
38;"";"LOGO";1;"";;;
