ref	value
C1	0.22uF
C2	22uF
C3	220pF
C4	100nF
C5	0.1uF
C6	0.01uF
C7	1uF
C8	100nF
C9	100nF
C10	100nF
C11	100nF
C12	100nF
C13	100nF
C14	100nF
C15	100nF
C16	100nF
C17	100nF
C18	100nF
C19	100nF
C20	4,7uF
C21	0.01uF
C22	100nF
C23	100nF
C24	100nF
C25	100nF
C26	100nF
C27	0.22uF
C28	22uF
C29	220pF
C30	100nF
C31	100nF
C32	100nF
C33	100nF
C34	100nF
C35	100nF
C36	100nF
C37	100nF
C38	100nF
C39	100nF
C40	1uF
C41	1uF
CON1	A3000/A4000_LOCAL_BUS_SLOT
D1	LED
D2	LED
D3	LED
D4	1N4148
J3	XILINX_JTAG
J4	CONN_2
J5	CONN_4
JP1	CPU CLK
JP2	LOGIC CLK
JP3	CLK SPREAD
JP4	QFP/PGA
JP5	NoFlash/Flash
R1	100
R2	k22
R3	k22
R4	4k7
R5	4k7
R6	k22
R7	4k7
R8	4k7
R9	4k7
R10	4k7
R11	4k7
R12	4k7
U1	MC68030FE
U2	XC95144XL-10TQG144C
U3	AS6C3216
U4	AS6C3216
U5	S29AL016J
U6	S29AL016J
U7	PCA9564
U8	74LXC245
U9	74LXC245
U10	74LXC245
U11	74LXC245
U12	MCP9801
U13	DS1086L
U14	XTAL_OSC_DIP8
U15	MCP1826S
U16	IS66WVE4M16
U17	IS66WVE4M16
U18	MC68030RC_PGA
U19	XC9536XL-5VQG44C
U20	MCP9801
